鹪 鷦
鲼 鱝
鲽 鰈
鳀 鯷
鳃 鰓
鳅 鰍
鳇 鰉
鳊 鯿
鹫 鷲
懑 懣
鹬 鷸
鳌 鰲
鞯 韉
颢 顥
鹭 鷺
髅 髏
镬 鑊
镭 鐳
镯 鐲
雠 讎
鳎 鰨
鳏 鰥
鳐 鰩
癞 癩
攒 攢
霭 靄
蹿 躥
髋 髖
髌 髕
镲 鑔
籁 籟
鳓 鰳
鳔 鰾
鳕 鱈
鳗 鰻
鳙 鱅
谶 讖
骥 驥
缵 纘
瓒 瓚
鼍 鼉
黩 黷
黪 黲
镳 鑣
镴 鑞
臜 臢
鳜 鱖
鳝 鱔
鳟 鱒
骧 驤
颦 顰
鳢 鱧
癫 癲
灏 灝
鹳 鸛
镵 鑱
趱 趲
颧 顴
躜 躦
馕 饢
戆 戇
